"","0","numtombo","1","familia","2","genero","3","sp","4","autorsp","5","taxoncompleto","6","pais","7","estado_prov","8","cidade","9","10","latitude","11","longitude","12","numcoleta","13","diacoleta","14","mescoleta","15","anocoleta"
"75",612201,612201,LEGUMINOSAE,LEGUMINOSAE,Caesalpinia,Caesalpinia,echinata,echinata,Lam.,Lam.,Caesalpinia echinata Lam.,Caesalpinia echinata Lam.,Brasil,Brasil,Bahia,Bahia,NULL,NULL,Brasil,-15.73889,-15.73889,-39.58444,-39.58444,7905,7905,2,2,11,11,2014,2014
"76",612193,612193,LEGUMINOSAE,LEGUMINOSAE,Caesalpinia,Caesalpinia,echinata,echinata,Lam.,Lam.,Caesalpinia echinata Lam.,Caesalpinia echinata Lam.,Brasil,Brasil,Bahia,Bahia,NULL,NULL,Brasil,-15.06056,-15.06056,-40.68000,-40.68000,7898,7898,1,1,11,11,2014,2014
"77",5637,5637,LEGUMINOSAE,LEGUMINOSAE,Caesalpinia,Caesalpinia,echinata,echinata,Lam.,Lam.,Caesalpinia echinata Lam.,Caesalpinia echinata Lam.,Brasil,Brasil,Bahia,Bahia,NULL,NULL,Brasil,-14.21389,-14.21389,-39.55222,-39.55222,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"78",464330,464330,LEGUMINOSAE,LEGUMINOSAE,Caesalpinia,Caesalpinia,echinata,echinata,Lam.,Lam.,Caesalpinia echinata Lam.,Caesalpinia echinata Lam.,Brasil,Brasil,NULL,NULL,Aracruz,Aracruz,Brasil,-19.67528,-19.67528,-40.15111,-40.15111,6879,6879,2,2,NULL,NULL,2008,2008
"79",5602,5602,LEGUMINOSAE,LEGUMINOSAE,Caesalpinia,Caesalpinia,echinata,echinata,Lam.,Lam.,Caesalpinia echinata Lam.,Caesalpinia echinata Lam.,Brasil,Brasil,Rio de Janeiro,Rio de Janeiro,NULL,NULL,Brasil,-23.12167,-23.12167,-43.02500,-43.02500,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"80",5701,5701,LEGUMINOSAE,LEGUMINOSAE,Caesalpinia,Caesalpinia,echinata,echinata,Lam.,Lam.,Caesalpinia echinata Lam.,Caesalpinia echinata Lam.,Brasil,Brasil,NULL,NULL,NULL,NULL,Brasil,-19.67778,-19.67778,-40.15278,-40.15278,NULL,NULL,11,11,8,8,2012,2012
"81",5631,5631,LEGUMINOSAE,LEGUMINOSAE,Caesalpinia,Caesalpinia,echinata,echinata,Lam.,Lam.,Caesalpinia echinata Lam.,Caesalpinia echinata Lam.,Brasil,Brasil,Rio de Janeiro,Rio de Janeiro,NULL,NULL,Brasil,-22.80278,-22.80278,-41.96472,-41.96472,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"82",5603,5603,LEGUMINOSAE,LEGUMINOSAE,Caesalpinia,Caesalpinia,echinata,echinata,Lam.,Lam.,Caesalpinia echinata Lam.,Caesalpinia echinata Lam.,Brasil,Brasil,Rio de Janeiro,Rio de Janeiro,NULL,NULL,Brasil,-23.11500,-23.11500,-43.01944,-43.01944,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"83",5639,5639,LEGUMINOSAE,LEGUMINOSAE,Caesalpinia,Caesalpinia,echinata,echinata,Lam.,Lam.,Caesalpinia echinata Lam.,Caesalpinia echinata Lam.,Brasil,Brasil,Bahia,Bahia,NULL,NULL,Brasil,-14.21389,-14.21389,-39.55222,-39.55222,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"84",5700,5700,LEGUMINOSAE,LEGUMINOSAE,Caesalpinia,Caesalpinia,echinata,echinata,Lam.,Lam.,Caesalpinia echinata Lam.,Caesalpinia echinata Lam.,Brasil,Brasil,NULL,NULL,NULL,NULL,Brasil,-19.67639,-19.67639,-40.15278,-40.15278,NULL,NULL,11,11,8,8,2012,2012
"85",5698,5698,LEGUMINOSAE,LEGUMINOSAE,Caesalpinia,Caesalpinia,echinata,echinata,Lam.,Lam.,Caesalpinia echinata Lam.,Caesalpinia echinata Lam.,Brasil,Brasil,NULL,NULL,NULL,NULL,Brasil,-19.67639,-19.67639,-40.15278,-40.15278,NULL,NULL,11,11,8,8,2012,2012
"86",5646,5646,LEGUMINOSAE,LEGUMINOSAE,Caesalpinia,Caesalpinia,echinata,echinata,Lam.,Lam.,Caesalpinia echinata Lam.,Caesalpinia echinata Lam.,Brasil,Brasil,Bahia,Bahia,NULL,NULL,Brasil,-14.26056,-14.26056,-39.42222,-39.42222,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"87",5618,5618,LEGUMINOSAE,LEGUMINOSAE,Caesalpinia,Caesalpinia,echinata,echinata,Lam.,Lam.,Caesalpinia echinata Lam.,Caesalpinia echinata Lam.,Brasil,Brasil,Rio de Janeiro,Rio de Janeiro,NULL,NULL,Brasil,-22.88306,-22.88306,-42.00028,-42.00028,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"88",5644,5644,LEGUMINOSAE,LEGUMINOSAE,Caesalpinia,Caesalpinia,echinata,echinata,Lam.,Lam.,Caesalpinia echinata Lam.,Caesalpinia echinata Lam.,Brasil,Brasil,Bahia,Bahia,NULL,NULL,Brasil,-14.21222,-14.21222,-39.55278,-39.55278,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"89",607729,607729,LEGUMINOSAE,LEGUMINOSAE,Caesalpinia,Caesalpinia,echinata,echinata,Lam.,Lam.,Caesalpinia echinata Lam.,Caesalpinia echinata Lam.,Brasil,Brasil,Rio de Janeiro,Rio de Janeiro,NULL,NULL,Brasil,-22.96389,-22.96389,-43.16278,-43.16278,7833,7833,2,2,8,8,2014,2014
"90",5692,5692,LEGUMINOSAE,LEGUMINOSAE,Caesalpinia,Caesalpinia,echinata,echinata,Lam.,Lam.,Caesalpinia echinata Lam.,Caesalpinia echinata Lam.,Brasil,Brasil,NULL,NULL,NULL,NULL,Brasil,-19.67972,-19.67972,-40.15222,-40.15222,NULL,NULL,11,11,8,8,2012,2012
"91",464328,464328,LEGUMINOSAE,LEGUMINOSAE,Caesalpinia,Caesalpinia,echinata,echinata,Lam.,Lam.,Caesalpinia echinata Lam.,Caesalpinia echinata Lam.,Brasil,Brasil,NULL,NULL,Aracruz,Aracruz,Brasil,-19.67528,-19.67528,-40.15111,-40.15111,6877,6877,2,2,4,4,2008,2008
"92",464325,464325,LEGUMINOSAE,LEGUMINOSAE,Caesalpinia,Caesalpinia,echinata,echinata,Lam.,Lam.,Caesalpinia echinata Lam.,Caesalpinia echinata Lam.,Brasil,Brasil,NULL,NULL,Aracruz,Aracruz,Brasil,-19.72444,-19.72444,-40.27944,-40.27944,6874,6874,2,2,4,4,2008,2008
"93",436831,436831,LEGUMINOSAE,LEGUMINOSAE,Caesalpinia,Caesalpinia,echinata,echinata,Lam.,Lam.,Caesalpinia echinata Lam.,Caesalpinia echinata Lam.,Brasil,Brasil,Rio de Janeiro,Rio de Janeiro,Rio Bonito,Rio Bonito,Brasil,-22.75167,-22.75167,-42.59389,-42.59389,6492,6492,12,12,2,2,2007,2007
"94",5650,5650,LEGUMINOSAE,LEGUMINOSAE,Caesalpinia,Caesalpinia,echinata,echinata,Lam.,Lam.,Caesalpinia echinata Lam.,Caesalpinia echinata Lam.,Brasil,Brasil,Bahia,Bahia,NULL,NULL,Brasil,-14.26083,-14.26083,-39.42639,-39.42639,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"95",5694,5694,LEGUMINOSAE,LEGUMINOSAE,Caesalpinia,Caesalpinia,echinata,echinata,Lam.,Lam.,Caesalpinia echinata Lam.,Caesalpinia echinata Lam.,Brasil,Brasil,NULL,NULL,NULL,NULL,Brasil,-19.67944,-19.67944,-40.15222,-40.15222,NULL,NULL,11,11,8,8,2012,2012
"96",557430,557430,LEGUMINOSAE,LEGUMINOSAE,Caesalpinia,Caesalpinia,echinata,echinata,Lam.,Lam.,Caesalpinia echinata Lam.,Caesalpinia echinata Lam.,Brasil,Brasil,Bahia,Bahia,NULL,NULL,Brasil,-15.71278,-15.71278,-39.56722,-39.56722,7598,7598,14,14,10,10,2012,2012
"97",5653,5653,LEGUMINOSAE,LEGUMINOSAE,Caesalpinia,Caesalpinia,echinata,echinata,Lam.,Lam.,Caesalpinia echinata Lam.,Caesalpinia echinata Lam.,Brasil,Brasil,Bahia,Bahia,NULL,NULL,Brasil,-14.25972,-14.25972,-39.42472,-39.42472,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"98",5699,5699,LEGUMINOSAE,LEGUMINOSAE,Caesalpinia,Caesalpinia,echinata,echinata,Lam.,Lam.,Caesalpinia echinata Lam.,Caesalpinia echinata Lam.,Brasil,Brasil,NULL,NULL,NULL,NULL,Brasil,-19.67639,-19.67639,-40.15278,-40.15278,NULL,NULL,11,11,8,8,2012,2012
"99",464327,464327,LEGUMINOSAE,LEGUMINOSAE,Caesalpinia,Caesalpinia,echinata,echinata,Lam.,Lam.,Caesalpinia echinata Lam.,Caesalpinia echinata Lam.,Brasil,Brasil,NULL,NULL,Aracruz,Aracruz,Brasil,-19.72917,-19.72917,-40.27806,-40.27806,6876,6876,2,2,4,4,2008,2008
"100",612192,612192,LEGUMINOSAE,LEGUMINOSAE,Caesalpinia,Caesalpinia,echinata,echinata,Lam.,Lam.,Caesalpinia echinata Lam.,Caesalpinia echinata Lam.,Brasil,Brasil,Bahia,Bahia,NULL,NULL,Brasil,-15.06056,-15.06056,-40.68000,-40.68000,7897,7897,1,1,11,11,2014,2014
"101",470020,470020,LEGUMINOSAE,LEGUMINOSAE,Caesalpinia,Caesalpinia,echinata,echinata,Lam.,Lam.,Caesalpinia echinata Lam.,Caesalpinia echinata Lam.,Brasil,Brasil,Alagoas,Alagoas,Coruripe,Coruripe,Brasil,-10.04778,-10.04778,-36.27361,-36.27361,6946,6946,28,28,7,7,2008,2008
"102",5691,5691,LEGUMINOSAE,LEGUMINOSAE,Caesalpinia,Caesalpinia,echinata,echinata,Lam.,Lam.,Caesalpinia echinata Lam.,Caesalpinia echinata Lam.,Brasil,Brasil,NULL,NULL,NULL,NULL,Brasil,-19.67972,-19.67972,-40.15194,-40.15194,NULL,NULL,11,11,8,8,2012,2012
"103",464326,464326,LEGUMINOSAE,LEGUMINOSAE,Caesalpinia,Caesalpinia,echinata,echinata,Lam.,Lam.,Caesalpinia echinata Lam.,Caesalpinia echinata Lam.,Brasil,Brasil,NULL,NULL,Aracruz,Aracruz,Brasil,-19.72917,-19.72917,-40.27806,-40.27806,6875,6875,2,2,4,4,2008,2008
"104",5641,5641,LEGUMINOSAE,LEGUMINOSAE,Caesalpinia,Caesalpinia,echinata,echinata,Lam.,Lam.,Caesalpinia echinata Lam.,Caesalpinia echinata Lam.,Brasil,Brasil,Bahia,Bahia,NULL,NULL,Brasil,-14.21333,-14.21333,-39.55250,-39.55250,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"105",612205,612205,LEGUMINOSAE,LEGUMINOSAE,Caesalpinia,Caesalpinia,echinata,echinata,Lam.,Lam.,Caesalpinia echinata Lam.,Caesalpinia echinata Lam.,Brasil,Brasil,Bahia,Bahia,NULL,NULL,Brasil,-15.73889,-15.73889,-39.58444,-39.58444,7909,7909,2,2,11,11,2014,2014
"106",5654,5654,LEGUMINOSAE,LEGUMINOSAE,Caesalpinia,Caesalpinia,echinata,echinata,Lam.,Lam.,Caesalpinia echinata Lam.,Caesalpinia echinata Lam.,Brasil,Brasil,Bahia,Bahia,NULL,NULL,Brasil,-14.25639,-14.25639,-39.42722,-39.42722,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"107",5619,5619,LEGUMINOSAE,LEGUMINOSAE,Caesalpinia,Caesalpinia,echinata,echinata,Lam.,Lam.,Caesalpinia echinata Lam.,Caesalpinia echinata Lam.,Brasil,Brasil,Rio de Janeiro,Rio de Janeiro,NULL,NULL,Brasil,-22.88306,-22.88306,-42.00028,-42.00028,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"108",5648,5648,LEGUMINOSAE,LEGUMINOSAE,Caesalpinia,Caesalpinia,echinata,echinata,Lam.,Lam.,Caesalpinia echinata Lam.,Caesalpinia echinata Lam.,Brasil,Brasil,Bahia,Bahia,NULL,NULL,Brasil,-14.25944,-14.25944,-39.42500,-39.42500,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"109",546892,546892,LEGUMINOSAE,LEGUMINOSAE,Caesalpinia,Caesalpinia,echinata,echinata,Lam.,Lam.,Caesalpinia echinata Lam.,Caesalpinia echinata Lam.,Brasil,Brasil,Rio de Janeiro,Rio de Janeiro,Saquarema,Saquarema,Brasil,-22.92917,-22.92917,-42.46139,-42.46139,225,225,15,15,5,5,2012,2012
"110",483784,483784,LEGUMINOSAE,LEGUMINOSAE,Caesalpinia,Caesalpinia,echinata,echinata,Lam.,Lam.,Caesalpinia echinata Lam.,Caesalpinia echinata Lam.,Brasil,Brasil,Bahia,Bahia,Pau Brasil,Pau Brasil,Brasil,-15.57222,-15.57222,-39.65250,-39.65250,132,132,26,26,2,2,2005,2005
"111",5624,5624,LEGUMINOSAE,LEGUMINOSAE,Caesalpinia,Caesalpinia,echinata,echinata,Lam.,Lam.,Caesalpinia echinata Lam.,Caesalpinia echinata Lam.,Brasil,Brasil,Rio de Janeiro,Rio de Janeiro,NULL,NULL,Brasil,-22.80500,-22.80500,-41.98278,-41.98278,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"112",5705,5705,LEGUMINOSAE,LEGUMINOSAE,Caesalpinia,Caesalpinia,echinata,echinata,Lam.,Lam.,Caesalpinia echinata Lam.,Caesalpinia echinata Lam.,Brasil,Brasil,NULL,NULL,NULL,NULL,Brasil,-19.67778,-19.67778,-40.15278,-40.15278,NULL,NULL,11,11,8,8,2012,2012
"113",5706,5706,LEGUMINOSAE,LEGUMINOSAE,Caesalpinia,Caesalpinia,echinata,echinata,Lam.,Lam.,Caesalpinia echinata Lam.,Caesalpinia echinata Lam.,Brasil,Brasil,NULL,NULL,NULL,NULL,Brasil,-19.67778,-19.67778,-40.15278,-40.15278,NULL,NULL,11,11,8,8,2012,2012
"114",5697,5697,LEGUMINOSAE,LEGUMINOSAE,Caesalpinia,Caesalpinia,echinata,echinata,Lam.,Lam.,Caesalpinia echinata Lam.,Caesalpinia echinata Lam.,Brasil,Brasil,NULL,NULL,NULL,NULL,Brasil,-19.67778,-19.67778,-40.15278,-40.15278,NULL,NULL,11,11,8,8,2012,2012
"115",464324,464324,LEGUMINOSAE,LEGUMINOSAE,Caesalpinia,Caesalpinia,echinata,echinata,Lam.,Lam.,Caesalpinia echinata Lam.,Caesalpinia echinata Lam.,Brasil,Brasil,NULL,NULL,Aracruz,Aracruz,Brasil,-19.67833,-19.67833,-40.26167,-40.26167,6873,6873,2,2,4,4,2008,2008
"116",398947,398947,LEGUMINOSAE,LEGUMINOSAE,Caesalpinia,Caesalpinia,echinata,echinata,Lam.,Lam.,Caesalpinia echinata Lam.,Caesalpinia echinata Lam.,Brasil,Brasil,Rio de Janeiro,Rio de Janeiro,NULL,NULL,Brasil,-22.71667,-22.71667,-41.96667,-41.96667,,,29,29,8,8,2003,2003
"117",355014,355014,LEGUMINOSAE,LEGUMINOSAE,Caesalpinia,Caesalpinia,echinata,echinata,Lam.,Lam.,Caesalpinia echinata Lam.,Caesalpinia echinata Lam.,Brasil,Brasil,Pernambuco,Pernambuco,NULL,NULL,Brasil,-8.01278,-8.01278,-34.95028,-34.95028,175,175,19,19,7,7,2001,2001
"118",550434,550434,LEGUMINOSAE,LEGUMINOSAE,Caesalpinia,Caesalpinia,echinata,echinata,Lam.,Lam.,Caesalpinia echinata Lam.,Caesalpinia echinata Lam.,Brasil,Brasil,Bahia,Bahia,Jussari,Jussari,Brasil,-15.16361,-15.16361,-39.54333,-39.54333,343,343,2,2,5,5,2004,2004
"119",587388,587388,LEGUMINOSAE,LEGUMINOSAE,Caesalpinia,Caesalpinia,echinata,echinata,Lam.,Lam.,Caesalpinia echinata Lam.,Caesalpinia echinata Lam.,Brasil,Brasil,Bahia,Bahia,NULL,NULL,Brasil,-14.56667,-14.56667,-39.73333,-39.73333,172,172,21,21,5,5,2012,2012
"120",587385,587385,LEGUMINOSAE,LEGUMINOSAE,Caesalpinia,Caesalpinia,echinata,echinata,Lam.,Lam.,Caesalpinia echinata Lam.,Caesalpinia echinata Lam.,Brasil,Brasil,Bahia,Bahia,NULL,NULL,Brasil,-14.56667,-14.56667,-39.73333,-39.73333,171,171,21,21,5,5,2012,2012
"121",560360,560360,LEGUMINOSAE,LEGUMINOSAE,Caesalpinia,Caesalpinia,echinata,echinata,Lam.,Lam.,Caesalpinia echinata Lam.,Caesalpinia echinata Lam.,Brasil,Brasil,Bahia,Bahia,Porto Seguro,Porto Seguro,Brasil,-16.41917,-16.41917,-39.20222,-39.20222,294,294,12,12,3,3,2010,2010
"122",560421,560421,LEGUMINOSAE,LEGUMINOSAE,Caesalpinia,Caesalpinia,echinata,echinata,Lam.,Lam.,Caesalpinia echinata Lam.,Caesalpinia echinata Lam.,Brasil,Brasil,NULL,NULL,Santa Rita,Santa Rita,Brasil,-6.96028,-6.96028,-35.13500,-35.13500,3299,3299,22,22,5,5,2012,2012
"123",417708,417708,LEGUMINOSAE,LEGUMINOSAE,Caesalpinia,Caesalpinia,echinata,echinata,Lam.,Lam.,Caesalpinia echinata Lam.,Caesalpinia echinata Lam.,Brasil,Brasil,Rio de Janeiro,Rio de Janeiro,Iguaba Grande,Iguaba Grande,Brasil,-11.78333,-11.78333,-50.86667,-50.86667,6340,6340,18,18,5,5,2005,2005
"124",432115,432115,LEGUMINOSAE,LEGUMINOSAE,Caesalpinia,Caesalpinia,echinata,echinata,Lam.,Lam.,Caesalpinia echinata Lam.,Caesalpinia echinata Lam.,Brasil,Brasil,Rio de Janeiro,Rio de Janeiro,NULL,NULL,Brasil,-22.96472,-22.96472,-43.18611,-43.18611,6391,6391,16,16,12,12,2005,2005
"125",587387,587387,LEGUMINOSAE,LEGUMINOSAE,Caesalpinia,Caesalpinia,echinata,echinata,Lam.,Lam.,Caesalpinia echinata Lam.,Caesalpinia echinata Lam.,Brasil,Brasil,Bahia,Bahia,NULL,NULL,Brasil,-14.56667,-14.56667,-39.73333,-39.73333,173,173,21,21,5,5,2012,2012
"126",429493,429493,LEGUMINOSAE,LEGUMINOSAE,Caesalpinia,Caesalpinia,echinata,echinata,Lam.,Lam.,Caesalpinia echinata Lam.,Caesalpinia echinata Lam.,Brasil,Brasil,Bahia,Bahia,Porto Seguro,Porto Seguro,Brasil,-16.41917,-16.41917,-39.20222,-39.20222,4251,4251,18,18,8,8,2004,2004
"127",587389,587389,LEGUMINOSAE,LEGUMINOSAE,Caesalpinia,Caesalpinia,echinata,echinata,Lam.,Lam.,Caesalpinia echinata Lam.,Caesalpinia echinata Lam.,Brasil,Brasil,Bahia,Bahia,NULL,NULL,Brasil,-14.65000,-14.65000,-39.73333,-39.73333,176,176,21,21,5,5,2012,2012
"128",490925,490925,LEGUMINOSAE,LEGUMINOSAE,Caesalpinia,Caesalpinia,echinata,echinata,Lam.,Lam.,Caesalpinia echinata Lam.,Caesalpinia echinata Lam.,Brasil,Brasil,Alagoas,Alagoas,Coruripe,Coruripe,Brasil,-10.03333,-10.03333,-36.26667,-36.26667,250,250,13,13,4,4,2002,2002
"129",550439,550439,LEGUMINOSAE,LEGUMINOSAE,Caesalpinia,Caesalpinia,echinata,echinata,Lam.,Lam.,Caesalpinia echinata Lam.,Caesalpinia echinata Lam.,Brasil,Brasil,Bahia,Bahia,NULL,NULL,Brasil,-15.69861,-15.69861,-39.57778,-39.57778,02,02,1,1,1,1,2002,2002
"130",470304,470304,LEGUMINOSAE,LEGUMINOSAE,Caesalpinia,Caesalpinia,echinata,echinata,Lam.,Lam.,Caesalpinia echinata Lam.,Caesalpinia echinata Lam.,Brasil,Brasil,Distrito Federal,Distrito Federal,NULL,NULL,Brasil,-15.94722,-15.94722,-47.87778,-47.87778,1237,1237,4,4,10,10,2004,2004
"131",432114,432114,LEGUMINOSAE,LEGUMINOSAE,Caesalpinia,Caesalpinia,echinata,echinata,Lam.,Lam.,Caesalpinia echinata Lam.,Caesalpinia echinata Lam.,Brasil,Brasil,Rio de Janeiro,Rio de Janeiro,Rio de Janeiro,Rio de Janeiro,Brasil,-22.96472,-22.96472,-43.18611,-43.18611,6390,6390,16,16,12,12,2005,2005
"132",411924,411924,LEGUMINOSAE,LEGUMINOSAE,Caesalpinia,Caesalpinia,echinata,echinata,Lam.,Lam.,Caesalpinia echinata Lam.,Caesalpinia echinata Lam.,Brasil,Brasil,Rio de Janeiro,Rio de Janeiro,NULL,NULL,Brasil,-22.94444,-22.94444,-43.08750,-43.08750,493,493,27,27,5,5,2005,2005
"133",587386,587386,LEGUMINOSAE,LEGUMINOSAE,Caesalpinia,Caesalpinia,echinata,echinata,Lam.,Lam.,Caesalpinia echinata Lam.,Caesalpinia echinata Lam.,Brasil,Brasil,Bahia,Bahia,NULL,NULL,Brasil,-14.56667,-14.56667,-39.73333,-39.73333,175,175,21,21,5,5,2012,2012
"134",507350,507350,LEGUMINOSAE,LEGUMINOSAE,Caesalpinia,Caesalpinia,echinata,echinata,Lam.,Lam.,Caesalpinia echinata Lam.,Caesalpinia echinata Lam.,Brasil,Brasil,Bahia,Bahia,Caravelas,Caravelas,Brasil,-17.65000,-17.65000,-39.25000,-39.25000,145,145,20,20,4,4,2007,2007
